Timestamp,OBC-1_SNSR_NEG_15V_VOL_AFT_RLY,OBC-1_NEG_10V_VOL,OBC-1_VTH_VOL,OBC-1_UBUS_VOL,OBC-2_SNSR_NEG_15V_VOL_AFT_RLY,OBC-2_UBUS_VOL,DOM_REG-2_VOL_SEL_RT,BAT_RAW_CUR-M,LOAD_RAW_CUR,BAT_RAW_CUR-R,BAT_DIS_CUR_LR_SEL_RT,BAT_CUR_RAW_SEL_RT,BUS_LOAD_CUR_LR_SEL_RT,BAT_CHRG_CUR_TCR_SEL_RT,BUS_VOL_SEL_RT,STRING_CUR_SEL_RT,BAT_CHRG_ZERO_CUR_SEL_RT,ALT_FPGA_STRING_CUR_SEL_RT,BAT_DIS_CUR_LR_NSEL_RT,BAT_CUR_RAW_NSEL_RT,BUS_LOAD_CUR_LR_NSEL_RT,BAT_CHRG_CUR_TCR_NSEL_RT,BUS_VOL_NSEL_RT,PRES_TRANS-1_O/P,PRES_TRANS-2_O/P,SSM-M_MOTOR_CUR,SSM-M_TCS_VOL,SCE-M_RBUS_VOL,SCE-R_RBUS_VOL,SCAT_TWTA-M_HELIX_CUR_DIRECT,SCAT_TWTA-M_BUS_CUR_DIRECT,SCAT_TWTA-R_HELIX_CUR_DIRECT,BDH_CARD_1_TS005_TMP,BDH_DCDC_BASE_M_TS007_TMP,SSR_CARD1_TS009_TMP,XBS_M_TS013_TMP,XPF_PLATE-1_XPC_3_4_TS015_TMP,XPA_SSPA_M_TS017_TMP,XPF_PLATE-1_NR_SSPA_TS019_TMP,XPF_PLATE-1_XPC_1_2_TS021_TMP,SCTX_10_TS022_TMP,GCRX_10_LO_DECK_M_TS024_TMP,SPS1_BASE_M_TS026_TMP,SPS2_BASE_M_TS028_TMP,BAT1_BODY_TS033_TMP,BAT1_HTR_M_TS034_TMP,BAT2_HTR_M_TS037_TMP,BAT_DIFF_PLT_TS039_TMP,CPE10_BASE_M_TS046_TMP,OBC1_BASE_TS049_TMP,OBC1_PKG_TS050_TMP,SS1_M_TS053_TMP,APU_BASE_TS057_TMP,RW1_CASING_TS064_TMP,IRU_M_TS072_TMP,IRU_BASE_TS074_TMP,EP02_SADA_SHFT_ASS_TS076_TMP,EP04_SADA_SHFT_SS_TS078_TMP,WDE_10_20_TS082_TMP,P1_SADA_ELX_BASE_TS085_TMP,FUELTANK-1_TS087_TMP,FUELTANK-2_TS089_TMP,LV_M_TS091_TMP,FCV_R1_TS093_TMP,FCV_R2_TS094_TMP,FCV_R3_TS095_TMP,FCV_R4_TS096_TMP,11N_FCV_D1_TS101_TMP,11N_FCV_D2_TS102_TMP,11N_PLMLN_1_TS105_TMP,PL_LN_SHRPNL_1_TS107_TMP,PL_LN_DP1_NEGY_1_TS111_TMP,SCTX_STC_GCRX-20_TS120_TMP,EP04_SADA_HOUS_SS_TS077_TMP,DP01GCRX-10_TS119_TMP,EP01_PNL_TS122_TMP,EP03_PNL_TS164_TMP,SAFE_ES-1_BP_TS063_TMP,XBS-111_TS173_TMP,P2_SADA_ELX_AMP-M_TS079_TMP,P1_SADA_ELX_AMP-M_TS083_TMP,SSR_BASE_M_TS003_TMP,SSR_DCDC_BASE_M_TS011_TMP,BDH_CARD3_TS244_TMP,DP01SCTX_STC-10_TS263_TMP,BDH_CARD_2_TS006_TMP,BDH_DCDC_BASE_R_TS008_TMP,SSR_CARD2_TS010_TMP,XBS_R_TS014_TMP,XPF_PLATE-2_XPC_5_6_TS016_TMP,XPF_PLATE-2_XPC_7_8_TS020_TMP,SCTX_20_TS023_TMP,GCRX_20_LO_DECK_R_TS025_TMP,BAT1_HTR_R_TS035_TMP,BAT2_BODY_TS036_TMP,BAT2_HTR_R_TS038_TMP,CPE10_BASE_R_TS047_TMP,EP03_PNL_CONTG_HTR_TS048_TMP,OBC2_PKG_TS052_TMP,OBC2_BASE_TS051_TMP,IRU_R_TS073_TMP,EP02_SADA_HOUS_ASS_TS075_TMP,WDE_20_30_TS086_TMP,P2_SADA_ELX_BASE_TS081_TMP,FUELTANK-1_TS088_TMP,FUELTANK-2_TS090_TMP,LV_R_TS092_TMP,FCV_R6_TS098_TMP,FCV_R8_TS100_TMP,11N_FCV_D4_TS104_TMP,11N_PLMLN_2_TS106_TMP,PL_LN_SHRPNL_2_TS108_TMP,PL_LN_DP1_NEGY_2_TS112_TMP,IF_RING_NEG_Y_TS116_TMP,CYLDR_NEG_P_TS118_TMP,EP02_PNL_TS163_TMP,EP04_PNL_TS165_TMP,DP01_CJ_BOX_TS172_TMP,XBS-211_TS174_TMP,P2_SADA_ELX_AMP-R_TS080_TMP,P1_SADA_ELX_AMP-R_TS084_TMP,SSR_BASE_R_TS004_TMP,SSR_DCDC_BASE_R_TS012_TMP,BDH_CARD4_TS245_TMP,MATHS_TSU-BE-R_TS262_TMP,GCRX_20_RF_DECK_R_TS265_TMP,MATHS_TSU-FE-R_TS267_TMP,RCS_THR_R1_TC001_TMP,RCS_THR_R2_TC002_TMP,RCS_THR_R3_TC003_TMP,RCS_THR_R4_TC004_TMP,RCS_THR_D1_TC009_TMP,RCS_THR_D3_TC011_TMP,RCS_THR_R5_TC005_TMP,RCS_THR_R6_TC006_TMP,RCS_THR_R7_TC007_TMP,RCS_THR_R8_TC008_TMP,RCS_THR_D2_TC010_TMP,RCS_THR_D4_TC012_TMP
2026-06-25T12:44:34.433031,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.73,2.98,2.75,-2.82,37.10,2.85,0.03,2.84,2.81,2.72,2.61,-2.81,36.74,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,21,21,21,21,23,25,26,-76,22,-76,21,22,21,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,22,21,23,22,21,24,21,21,21,21,22,22,22,27,21,20,20,22,23,24,25,20,21,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,28,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:34.943182,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.73,2.98,2.75,-2.82,37.10,2.85,0.03,2.84,2.81,2.72,2.61,-2.81,36.74,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,21,21,21,21,23,25,26,-76,22,-76,21,22,21,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,22,21,23,22,21,24,21,21,21,21,22,22,22,27,21,20,20,22,23,24,25,20,21,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,28,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:35.454386,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.73,2.98,2.75,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,36.74,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,21,21,21,21,23,25,26,-76,22,-76,21,22,21,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,22,21,23,22,21,24,21,21,21,21,22,22,22,27,21,20,20,22,23,24,25,20,21,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,28,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:35.963699,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.73,2.98,2.75,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,36.74,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,25,26,-76,22,-76,21,22,21,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,22,21,23,22,21,24,21,21,21,21,22,22,22,27,21,20,20,22,23,24,25,20,21,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,28,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:36.474120,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.83,2.98,2.75,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,36.74,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,26,-76,22,-76,21,22,21,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,22,21,23,22,21,24,21,21,21,21,22,22,22,27,21,20,20,22,23,24,25,20,21,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,28,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:36.983974,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.83,2.98,2.75,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,36.74,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,22,21,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,22,21,23,22,21,24,21,21,21,21,22,22,22,27,21,20,20,22,23,24,25,20,21,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:37.495207,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.73,2.98,2.75,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,36.74,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,22,21,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,22,21,23,22,21,24,21,21,21,21,22,22,22,27,21,20,20,22,23,24,25,20,21,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:38.004854,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.73,2.98,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,36.74,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,22,21,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,22,21,23,22,21,24,21,21,21,21,22,22,22,27,21,20,20,22,23,24,25,20,21,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:38.514818,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.76,2.94,2.64,2.98,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,36.74,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,21,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,22,21,23,22,21,24,21,21,21,21,22,22,22,27,21,20,20,22,23,24,25,20,21,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:39.024791,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.76,2.94,2.64,2.98,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,36.74,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,21,21,23,22,21,24,21,21,21,21,22,22,22,27,21,20,20,22,23,24,25,20,21,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:39.639862,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.76,2.94,2.73,2.98,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,21,21,21,21,22,22,22,27,21,20,20,22,23,24,25,20,21,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:40.149301,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.76,2.94,2.73,2.98,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,21,21,21,21,22,22,22,27,21,20,20,22,23,24,25,20,21,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:40.555506,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.83,2.98,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,21,21,21,21,22,22,22,27,21,20,20,22,23,24,25,21,21,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:41.066586,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.83,2.98,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,21,21,21,21,22,22,22,27,21,20,20,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:41.576348,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.73,2.98,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,22,21,21,21,22,22,24,27,21,20,20,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:42.086424,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.73,2.71,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,22,21,21,21,22,22,24,27,21,21,20,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:42.700533,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.76,2.94,2.64,2.71,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,22,21,21,21,22,22,24,27,21,21,20,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:43.211684,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.76,2.94,2.64,2.71,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,21,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,22,21,21,21,22,22,24,27,21,21,20,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:43.616581,-14.790000,-10.150000,5.106000,36.290000,-14.790000,36.664000,14.21,2.66,2.76,2.94,2.83,2.71,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,22,20,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,22,21,21,21,22,22,24,27,21,21,20,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:44.228969,-14.790000,-10.150000,5.106000,36.664000,-14.790000,36.664000,14.21,2.66,2.76,2.94,2.83,2.71,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,22,21,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,22,21,21,21,22,22,24,27,21,21,20,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:44.742734,-14.790000,-10.150000,5.106000,36.664000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.73,2.71,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,22,21,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,22,21,21,21,22,22,24,27,21,21,20,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:45.253351,-14.790000,-10.150000,5.106000,36.664000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.73,2.71,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,22,21,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,22,21,21,21,22,22,24,27,21,21,20,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:45.760088,-14.790000,-10.150000,5.106000,36.664000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.83,2.71,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,22,21,22,21,22,21,22,20,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,22,21,21,21,22,22,24,27,21,21,21,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:46.273257,-14.790000,-10.150000,5.106000,36.664000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.83,2.71,2.75,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,22,21,22,21,22,20,21,21,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,22,21,21,21,22,22,24,27,21,21,21,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:46.782295,-14.790000,-10.150000,5.106000,36.664000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.64,2.71,2.75,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,22,21,22,21,22,20,21,21,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,22,21,21,21,22,22,24,27,21,21,21,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:47.289941,-14.790000,-10.150000,5.106000,36.664000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.64,2.71,2.75,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,22,21,22,21,22,20,21,21,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,22,21,21,21,22,22,24,27,21,21,21,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,21,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:47.803547,-14.556000,-10.150000,5.106000,36.664000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.83,2.71,2.75,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,21,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,22,21,22,21,22,20,21,21,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,22,21,21,21,22,22,24,27,21,21,21,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,20,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466
2026-06-25T12:44:48.310640,-14.556000,-10.150000,5.106000,36.664000,-14.790000,36.664000,14.21,2.66,2.98,2.94,2.83,2.71,2.62,-2.82,37.10,2.85,0.03,2.84,2.72,2.72,2.61,-2.81,37.14,3.88,3.78,0.02,0.02,0.20,0.60,0.09,0.22,0.18,22,22,22,22,21,22,21,22,24,30,22,22,20,20,21,21,23,26,25,-76,22,-76,21,21,20,21,21,21,20,21,22,21,22,21,22,20,21,21,21,25,23,22,25,22,23,-76,22,21,22,23,22,21,24,22,21,21,21,22,22,24,27,21,21,21,22,23,24,25,21,22,22,21,21,21,21,21,21,20,21,21,24,22,21,21,23,21,21,20,22,22,21,22,-76,29,-76,-4.059,0.466,-4.059,0.466,-4.059,0.466,0.466,0.466,0.466,0.466,0.466,0.466
